Input,output,result,0=符合語境
其實台灣的路邊攤很髒ㄟ,原來妳是這麼想的呀 ,0,1=不符合語境
誰能比我更殘  過年家裡沒有人,太過分了 ,1,
聯合利劍b開始了怎辦,交給我吧 ,0,
過年了，有更多蛇年道賀圖嗎？,交給我吧 ,0,
想你了 牢牛 致敬傳奇第一代學術兼卡羅首席使徒暨A國總統傑佛遜協助者牛頓,到現在還執著於過去，真難看 ,0,
你們在拜拜的時候會跟神明模擬對話嗎,怎麼這麼問 ,0,
好想回到商朝祭祀,我想找回屬於大家的那段快樂時光 ,1,
過年打破陶瓷碗算好事嗎,你這話是認真的嗎 ,1,
照燒貓怎麼了？有八卦？,你不記得了嗎 ,0,
手機Discord究竟有何破病？,這問題問得好 ,0,
除夕大掃除也有包括身體裡嗎,我想應該不是 ,0,
在親戚家拜年,我也很想去喔 ,0,
祖國...我偉大的祖國,真是太好了 ,1,
連假不出門玩？,不知道 ,0,
若台灣情勢不樂觀 會移民去外國還是少數嗎？,這問題問得好 ,0,
好無聊，有沒有什麼遊戲推薦,我考慮一下吧 ,0,
我現在變成感冒達人了,真的很莫名其妙 ,0,
我把燈、電視、收音機全都開了,什麼跟什麼啊 ,0,
艾連發紅包囉！,太好了 ,0,
失聯移工合法化…勞部座談 一面倒反對,怎麼會...簡直不敢相信 ,0,
春節送場外人 r7000路由器 東方周邊 鳴潮,運氣真好 ,1,
脆 日船章魚燒一盒70元不能怪我活的像乞丐,那我也要 ,1,
為什麼殯葬業感覺都黑道在做的,是啊，到底為什麼呢 ,0,
你們有長過痘痘在鼻子裡面嗎,妳到底想幹嘛 ,1,
被抓去pm2.5吸到飽了,你這話是認真的嗎 ,0,
無職轉生的商品幹嘛把腹肌畫的這麼明顯,那當然是騙人的啊 ,1,
你們家裡人有那種省小錢花大錢的人嗎,你也差不多該忘記了吧 ,1,
重甲機神導演黃瀛洲：評價愈來愈樂觀,真不愧是人氣寵兒 ,0,
機車中柱是利用幹港原理嗎,那當然是騙人的啊 ,0,
我看很多人在吹 首都高(Tokyo Xtreme Racer)玩起來很真實,我也很想去喔 ,0,
大家還會在乎這個youtuber是敖廠長本人嗎  還是ai生成的? 請投票!,或許也不是真的不可能吧 ,1,
重甲機神第四週票房高達1470元,真不愧是人氣寵兒 ,0,
寒冬重溫這部整個人都好了,因為春日影是一首好歌 ,1,
場外PAD串 更新一波 霸凌群主智障鼻梁群,這樣很沒有教養喔 ,0,
天才it大臣成功繞過deepseek限制 讓他回答天安門,有點不太能想像呢 ,0,
米塔遊戲你們喜歡哪個米塔,怎麼這麼問 ,0,
薛丁格的湯婆婆，你不點進來就不知道到底有沒有湯婆婆,你說什麼 ,0,
女孩子什麼情況下會說「妳還是當我的老婆吧」？,這問題問得好 ,0,
在看刺客教條暗影者的遊玩影片，看到後面彌助可以脫光衣服跟一群白胖學弟大戰,有點不太能想像呢 ,0,
今天台北地下街或西門萬年的模型店有沒有有開的啊,要不要過去看看 ,0,
當初有去電影院看重甲機神的人是不是賺到了,不可能吧 ,0,
56歲還能包養 羨慕,動機太不單純了 ,0,
嘻哈仔醒醒吧！整天在那邊崇洋媚外,所以我才受不了大人 ,0,
這是祥姨還能領紅包時的故事,你也差不多該忘記了吧 ,0,
親戚講話提到十刃 還以為他也有看死神卡通,有點不太能想像呢 ,0,
男人之間的事 是指什麼,妳到底想幹嘛 ,0,
為什麼帰りましょう的普通體是帰ろう而不是かえよう,是啊，到底為什麼呢 ,0,
真替我表弟擔心  該怎麼辦,你知道這對她造成多大的傷害嗎 ,0,
再⋯再給我一點時間,感謝您讓我佔用的寶貴時間 ,1,
到底有多少初黑的圖啊,妳到底想幹嘛 ,0,
xpark那麼盤都誰在去的阿,不知道 ,0,
說吃麥當勞與性侵無關請進來看這篇,太先入為主了喔 ,0,
kobe向中國粉絲春節拜年,真是太好了 ,0,
今天風大太陽大,我會為你加油的 ,0,
研究小學的人真的很猛,我也很想去喔 ,0,
女兒的超大肥臉,妳到底想幹嘛 ,0,
著作權方對盜版攤販提告了,太過分了 ,0,
當砲友到賓館而你早就到了：,什麼跟什麼啊 ,0,
我... 從來不覺得過年開心過,每次想著想著就會感到很厭世 ,0,
幹我何時跟袁紹過過令人難忘的夜晚?,不可能吧 ,0,
如果給你一張日常用庫洛牌，你會選哪一張,怎麼這麼問 ,0,
氧化鎂跟通便樂可以一起使用嗎,我想你心裡多少也有些想法吧 ,0,
現在是 怪圖時間,我早知道會這樣了 ,0,
這裡沒有湯婆婆，可以放心進來,什麼跟什麼啊 ,0,
我雖然沒朋友,太先入為主了喔 ,1,
以前念書的時候笑長輩國中歷史都記不起來,你也差不多該忘記了吧 ,0,
如果可以 我想要貧乳（聊天串 大概,動機太不單純了 ,0,
诶诶...紅溫菈，+人們，咱們某款有7個國度的支遊，沒人想到某水法器大招鎖敵問題？,什麼跟什麼啊 ,0,
鄭靖霖除夕夜問大家蛇出來了嗎,真的很莫名其妙 ,0,
平常沒認真生活的人還奢望神明保佑啊,妳也為別人設想一下嘛 ,0,
現在還有人在看古見同學嗎?,不可能吧 ,0,
如果把聽膩的恭喜發財改成我腦婆的這句話,你這話是認真的嗎 ,1,
表姐覺得原神很宅？,沒有這回事啦 ,0,
靠北....親戚的小孩把他們家的狗摔死了==,真的很莫名其妙 ,0,
無論是你是不是AI從業者，如果你還接受過一點教育,從來不覺得玩樂團開心過 ,1,
想好二月cwtt台中場次的出角囉,我會為你加油的 ,0,
台灣科技業悲情不斷傳來，川普要動手對台課100%關稅!?,你這話是認真的嗎 ,0,
老天爺為什麼要讓我在廟裡看到穿短裙的國中妹妹跳舞,是啊，到底為什麼呢 ,0,
氣象員住這麼寒酸喔,大家真沒品味 ,0,
壞壞外星人真的很壞嗎？,那當然是騙人的啊 ,0,
（拉開橫幅）耶咦耶咦耶咦耶啊喔↓♫耶咦耶咦耶咦耶啊↑↓♫♫♫♫♫♫♫ ♫♫♫♫,那是歌詞嗎 ,0,
凱留祝大家新年快樂哦！,掰掰 ,1,
跟各位場外人拜年～新年快樂～,貴安 ,0,
怎麼沒有人在推台中煙火襲擊民眾的文章？,一丘之貂 ,0,
每次新莊有新消息就推起來！2025新年快樂啦！好想去日本玩喔,我也很想去喔 ,0,
媽的沒瓦斯了,態度好差喔 ,0,
扁扁下單一台藍芽喇叭來助興哦齁,那我也要 ,0,
想摸摸這個女生的身體,動機太不單純了 ,0,
場外共產主義者 進來,這樣很沒有教養喔 ,0,
日本第二天稻荷神社、金閣寺,我也很想去喔 ,0,
過年來拜拜就會覺得人類實在太多了,原來妳是這麼想的呀 ,0,
各位 你們的健保費都是被我用掉的,你這話是認真的嗎 ,0,
DeepSeek躍黑馬！ 輝達挫近17% 黃仁勳身價暴跌近7千億台幣,這是夢嗎 ,0,
湯姆熊贏了三袋,不可能吧 ,0,
湯婆婆色圖是誰想出來的,那當然是騙人的啊 ,1,
基於高中數學的DeepSeek淺度使用報告,能不能也教我用呢 ,0,
可以給我好笑的霸主圖嗎？,我哪有可能有辦法 ,0,
落第騎士好看,你說什麼 ,0,
如果要結婚了 女友才說怕你的基因不好 小孩要跟別人生,妳也為別人設想一下嘛 ,0,
以前喜歡胸現在喜歡腿，這是不是人生的大轉變？,這問題問得好 ,0,
我的YT 首頁為什麼有KS==,是啊，到底為什麼呢 ,0,
手機沒用5G的人不會覺得上網很慢嗎？,不知道 ,0,
女生很正 但是壯世代 你ok嗎？,太先入為主了喔 ,1,
笑死這也能Go買夠真的出圈了嗎,歐買尬爹斯 ,0,
可以給我各種巨乳、爆乳、超乳嗎？超大ㄋㄋ大樓,不行 ,0,
玩國際服真的很討厭遇到韓國人跟泰國人,這樣很沒有教養喔 ,0,
世紀之光巴友請問X4的貓頭鷹要怎麼打,妳到底想幹嘛 ,1,
巴哈黑名單、關鍵詞、字數過少隱藏顯示 v2.4#完全符合關鍵詞隱藏,什麼跟什麼啊 ,1,
拜拜的時候看色圖會怎樣嗎？,這問題問得好 ,0,
野獸先輩跟四x貓哪個較噁,這問題問得好 ,0,
這人實在太過分了,不要講這種話 ,0,
你的屁眼給力嗎？,妳到底想幹嘛 ,0,
以前發生什麼大事，記者都會追著要總統表態，這個優良傳統怎麼失傳了？,一丘之貂 ,0,
只要臉皮夠厚就能一輩子啃老嗎,妳也為別人設想一下嘛 ,0,
幹，進來說早ㄤ,還真是高高在上呢 ,0,
台灣護理師護病比1比10~15個人，是國外的三倍。,不可能吧 ,0,
今天初一 對我來說是個很重要的日子 可以進來幫我說聲加油嗎,交給我吧 ,0,
聽說場外今年又有人扮成財神去雷普男人了,有點不太能想像呢 ,0,
看AV時看到女同學,真的很莫名其妙 ,0,
DeepSeek550萬,這是夢嗎 ,0,
好想跟可愛男娘一起過新年,我也很想去喔 ,0,
川普課100稅，其實不影響大眾生活及多數勞工~對吧?,一丘之貂 ,1,
越南是不是亞洲第一強國家,我想應該不是 ,0,
為防有人沒看過，有咲超大,什麼意思 ,0,
台灣是不是逐漸在國際上落後啊？,沒有這回事啦 ,0,
現在你有什麼想買的?,這問題問得好 ,0,
用滑鼠每日一善！歡迎各位場外巴友們踴躍參與！〈20170114更新〉,那我也要 ,0,
快訊／釜山航空客機韓國金海機場起火   機上載170人,這是夢嗎 ,0,
昨天晚上用洨豆腐,你怎麼不找我們去 ,1,
為什麼要找千早,是啊，到底為什麼呢 ,0,
不滿政府調薪太低阿根廷火車工會發起全國罷工｜華視新聞 20250129 @CtsTw,太過分了 ,0,
該睡覺了孩子們(不知不覺四週年啦～),真是太好了 ,0,
幹 麥味登早餐等了 一小時 店員還在吵架 ==,要不要過去看看 ,1,
好多人在排全聯福袋喔！,那我也要 ,0,
有場外正妹想跟我蛇一下嗎？,不要這樣 ,0,
劍八後期是不是都在打醬油,我想應該不是 ,0,
有人也命帶中獎詛咒的嗎,有點不太能想像呢 ,0,
各位覺得「祖訓」這東西有沒有存在的必要,我想你心裡多少也有些想法吧 ,0,
DeepSeek AI分析 死神千年血戰 藍染打友哈的勝率 接近五五開 藍染略輸,不可能吧 ,0,
每天在這裡放一張K-ON!的圖,動機太不單純了 ,0,
台灣連非法移工都不敢抓,太先入為主了喔 ,0,
過年被長輩問一堆問題 快受不了了,每次想著想著就會感到很厭世 ,0,
大年初一發紅包,運氣真好 ,0,
那種外貿條件好 缺又一直單身的女生,每次想著想著就會感到很厭世 ,1,
男娘王子跑去當偶像有沒有搞頭,這樣很沒有教養喔 ,1,
現在大家是不是都直接丟AI回答給別人,是啊，到底為什麼呢 ,0,
每日推海綿寶寶中配版直到動畫瘋上架（許願1～7季）,那我也要 ,0,
DeepSeek 遇大規模網路攻擊，暫時只支援中國手機用戶註冊,是這樣嗎 ,0,
好...無...聊..................,掰掰 ,0,
去年在租屋處門口看到有人吐檳榔汁勸導後拍照被毆打 報案後被簽結的一檔事 2024.12.4,真的很莫名其妙 ,0,
痞子好過宅男吧,太先入為主了喔 ,0,
不是說今天是每個人最閒的一天嗎,原來妳是這麼想的呀 ,0,
美「同志夫夫」性侵2養子！逼拍兒童性虐片　小兄弟淪洩慾工具,真的很莫名其妙 ,0,
場外實驗室-吸引力法則,你說什麼 ,0,
今天想穿兩件,等一下妳是認真的嗎 ,0,
有人騎gogoro 跨縣市購買的嗎？,不行 ,1,
台灣過年特別節目（廣告也太多！）,真的毫無品味 ,0,
為啥人類一進入工業革命後,是啊，到底為什麼呢 ,0,
一人一個你會想要跟她夜戰突入的角色,到底是哪個 ,0,
原來play點數真的能抽到三位數,天啊，大發現欸 ,0,
有沒有更多吐舌頭，好色……,這樣很沒有教養喔 ,0,
每日屁屁癢癢屁屁,什麼跟什麼啊 ,0,
問deepseek天安門問題,這樣很沒有教養喔 ,0,
不注重拍照不玩遊戲,太先入為主了喔 ,1,
求更多梗圖,妳到底想幹嘛 ,0,
日本京阿尼縱火疑兇撤回上訴確定死刑裁決,不會吧 ,0,
推坑一款挺佛的手遊 永恆靈魂,真的毫無品味 ,0,
我還以為今天會很冷,這是夢嗎 ,1,
跟小鈴一樣肉 到底是在紅啥,她是我朋友 ,0,
セリカ狗幹色,你說什麼 ,0,
說個鬼故事,不要這樣 ,0,
台鐵帶走我姊姊，現在台鐵要擊倒我們 (Dcard原文已更新,動機太不單純了 ,1,
鯉魚王才是最棒ㄉ,你說什麼 ,0,
真·三國學長 起不來,太過分了 ,0,
祝福各位巴友，新春快樂、平安順利！,掰掰 ,0,
自從重新開始上班後,那真是可喜可賀 ,0,
Dio Cosplay,不要這樣 ,0,
好想看母雞卡 可是日本好像看不到ಠ_ಠ,天啊，大發現欸 ,0,
靠北阿沒抄底nv,我早知道會這樣了 ,0,
我發票有中獎捏 不知道是一千萬還是兩百萬,有點不太能想像呢 ,0,
恐怖蠟像館導演 新作,我也很想去喔 ,0,
弗利札是母的嗎？,沒有這回事啦 ,0,
我的演算法越來越混亂了,需要我待會再過來嗎 ,0,
川普要關稅台灣 爽不爽,妳也為別人設想一下嘛 ,0,
進來 我推大家一人一首歌,你唱得簡直太棒了 ,0,
如果有人要你過年期間去代班，一天5000元，會去嗎？,不行 ,0,
